City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
319,Broken Hill,AU,78.51,-31.95,141.4333,Royal Exchange Hotel
321,Biak,ID,75.58,-0.9131,122.8766,Penginapan Kim
322,Dingle,PH,73.45,10.9995,122.6711,SEGAYA PROPERTY
323,Iquique,CL,72.19,-20.2208,-70.1431,Backpacker`s Hostel Iquique
325,Padang,ID,76.8,-0.9492,100.3543,Mercure Padang
327,Chamba,IN,50.99,32.5667,76.1333,NotOnMap - Rafi's House
328,Yulara,AU,73.24,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
330,Nanlong,CN,48.0,31.3533,106.0631,Demei Hotel
331,Hope,US,67.98,33.6671,-93.5916,Best Western Hope
332,Lata,PT,53.82,40.1629,-8.3327,Casa Maquia
333,Dubasari,MD,39.29,47.2631,29.1608,Днестровский Сад
334,Jumla,NP,29.05,29.2747,82.1838,Royal Garden Hotel
335,Hervey Bay,AU,69.91,-25.2986,152.8535,Shelly Bay Resort
338,Gull Lake,CA,21.56,50.1001,-108.4847,Campbell's Accommodations
339,Bonavista,CA,23.11,48.6499,-53.1147,Sweet Sharons bnb
342,Kirkwall,GB,39.25,58.9848,-2.9587,Kirkwall Hotel
343,Moindou,NC,76.95,-21.6924,165.677,Equi-lodge de Moindou
349,Tongren,CN,45.68,27.7172,109.1853,Fanjing Mountain International Conference Center
351,Sijunjung,ID,72.03,-0.6876,100.9537,Hotel Bukik Gadang
353,Ustyuzhna,RU,30.4,58.8394,36.4321,V Gostyah U Svetlany
354,Coquimbo,CL,69.75,-29.9533,-71.3436,Hotel San Juan
357,Kloulklubed,PW,79.3,7.0419,134.2556,Storyboard Beach Resort
358,Gryazovets,RU,28.09,58.88,40.2525,Hotel Druzhba
360,Groa,NO,32.09,62.65,8.7167,Skogly Camping
361,Hwange,ZW,72.12,-18.3693,26.5019,Hwange Colliery Guest House
362,Pisco,PE,75.25,-13.7,-76.2167,Hotel San Isidro Oficial
363,Lompoc,US,78.13,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
364,Waddan,LY,58.23,29.1614,16.139,محل الشريف محمد العايب
365,Semirom,IR,28.04,31.4167,51.5667,Motel Dena
366,Ketchikan,US,40.98,55.3422,-131.6461,Snow's Cove Lodge
367,Praia,CV,75.74,14.9215,-23.5087,LT Aparthotel
368,Springfield,US,58.42,37.2153,-93.2982,Best Western Route 66 Rail Haven
371,Jining,CN,37.0,35.405,116.5814,Yunhe Star Hotel
372,Lempaala,FI,33.1,61.3167,23.75,Vaihmalan Hovi
373,Bogorodskoye,RU,30.09,56.55,37.8833,Sosnoviy Bor
374,Margate,GB,46.89,51.3813,1.3862,Premier Inn Margate hotel
375,Along,IN,46.99,28.1667,94.7667,Hotel West
376,Korgen,NO,26.31,66.0771,13.8153,Huset Cafe & Motell as
379,Feni,BD,58.78,23.0186,91.41,"Best Inn Hotel, Restaurant, Convention"
383,Kamarion,GR,50.76,36.8,25.8167,Rooms Eleni
386,San Quintin,MX,70.5,30.4833,-115.95,Don Eddie's Landing
387,Port Elizabeth,ZA,68.29,-33.918,25.5701,39 On Nile Guest House
389,Skibbereen,IE,48.11,51.55,-9.2667,The West Cork Hotel
390,Pontianak,ID,75.18,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
391,Maumere,ID,79.93,-8.6199,122.2111,Sylvia Hotel
392,Bayji,IQ,57.54,34.9311,43.487,مروان /عدنان
396,Adelaide,AU,69.17,-34.9333,138.6,The Chancellor on Currie
397,Bay Roberts,CA,26.51,47.5999,-53.2648,Stonewall Inn
398,Kalianget,ID,77.56,-7.05,113.9333,Pesanggrahan Garam
402,Andros Town,BS,73.36,24.7,-77.7667,Hanks place
403,Barcelos,PT,53.28,41.5388,-8.6151,Hotel Restaurante Bagoeira
404,Sibolga,ID,76.14,1.7427,98.7792,Hotel Syariah CN Darussalam
406,Ballina,AU,67.96,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
408,Iracoubo,GF,78.84,5.4802,-53.2011,Le Gîte d’Iracoubo
409,Del Rio,US,66.31,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
410,Banda Aceh,ID,79.07,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
411,Sonoita,MX,77.52,31.85,-112.8333,Santa Ana
412,Husavik,IS,22.91,66.0449,-17.3389,Bjarnabúð
415,Rocha,UY,79.47,-34.4833,-54.3333,Hotel Arrarte
416,Shangrao,CN,41.94,28.4532,117.9686,Boyue boutique Hotel
418,Kailua,US,74.75,21.4022,-157.7394,Sheffield House Bed & Breakfast
419,Te Anau,NZ,50.94,-45.4167,167.7167,Kingsgate Hotel Te Anau
421,Viransehir,TR,45.72,37.2353,39.7631,Viranşehir Öğretmenevi
423,Faya,SA,57.72,18.3851,42.4509,املاك خالد الشعشوع
424,Kununurra,AU,76.98,-15.7667,128.7333,Hotel Kununurra
425,Gat,IL,56.08,31.61,34.7642,OlusHome
426,Inhambane,MZ,78.78,-23.865,35.3833,Oceano
427,Santa Maria,BR,79.9,-29.6842,-53.8069,Hotel Morotin
430,Port Hardy,CA,47.75,50.6996,-127.4199,Airport Inn-Port Hardy
431,Jewar,IN,64.87,28.1333,77.55,Hotal S R Plaza
432,Koszalin,PL,47.68,54.1944,16.1722,Hotel Gromada
433,Tezpur,IN,56.86,26.6333,92.8,Hotel Kanyapur
434,Kerman,IR,40.86,30.2832,57.0788,هتل آپارتمان آسام
435,Llandrindod Wells,GB,42.93,52.2416,-3.3787,Metropole Hotel and Spa
437,Ucluelet,CA,45.09,48.9329,-125.5528,Black Rock Oceanfront Resort
438,Ierapetra,GR,55.15,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
439,Dong Hoi,VN,62.98,17.4833,106.6,Nam Long Hotel
440,Ushtobe,KZ,31.17,45.2514,77.9838,Filipin Squad
441,Lucapa,AO,65.21,-8.4192,20.7447,Residência Ulisses Dos Santos
443,Maldonado,UY,79.99,-34.6667,-54.9167,La Cimarrona
445,Reinosa,ES,41.22,42.9996,-4.138,Hotel Vejo
446,Pecos,US,67.3,31.4229,-103.4932,Knights Inn & Suites Pecos
447,Owase,JP,42.94,34.0667,136.2,Business Hotel Phoenix
448,San Nicolas,PH,75.11,18.1725,120.5953,NORTHVIEW Hotel
450,Zaozerne,UA,37.26,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
452,Ukiah,US,69.03,39.1502,-123.2078,Hampton Inn Ukiah
453,Muisne,EC,77.11,0.6,-80.0333,Quinta Samay
454,Rockingham,US,23.36,42.9668,-71.0995,Iron Wheel Mobile Home Park
455,Bintulu,MY,75.61,3.1667,113.0333,900 Boutique INN
456,Lamu,KE,79.02,-2.2717,40.902,Lamu House
458,Nizwa,OM,63.43,22.9333,57.5333,Orient Apartments
464,San Patricio,US,69.89,28.017,-97.5169,"Motel 6 Sinton, TX"
465,Mao,ES,48.76,39.8885,4.2658,ARTIEM Capri
467,Batemans Bay,AU,67.1,-35.7167,150.1833,Batemans Bay Marina Resort
468,Makungu,TZ,64.0,-8.7333,35.2833,Complex
470,Zaysan,KZ,15.98,47.4667,84.8667,Ерлан үй
471,Vardo,NO,29.95,70.3705,31.1107,Vardø Hotel AS
472,Porto Velho,BR,77.05,-8.7619,-63.9039,Ecos Hotel Conforto
474,Cap-Aux-Meules,CA,17.65,47.3821,-61.8597,Auberge Madeli
475,Andenne,BE,47.14,50.4894,5.0951,Duplex cosy Andenne centre
477,Xuzhou,CN,36.61,34.1805,117.1571,Thank Inn Chain Hotel Jiangsu xuzhou tongshan district Beijing south road
478,South Daytona,US,64.24,29.1658,-81.0045,"Holiday Inn Express & Suites Oceanfront Daytona Beach Shores, an IHG Hotel"
481,Alyangula,AU,71.47,-13.8483,136.4192,Groote Eylandt Lodge
482,Matara,LK,74.34,5.9485,80.5353,Amaloh Boutique Resort
483,Arua,UG,75.51,3.0201,30.9111,Golden Courts Hotel
484,Leigh,GB,45.25,53.4833,-2.5167,Holiday Inn Express - Leigh Sports Village
485,Riyadh,SA,59.14,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
487,Sumenep,ID,76.82,-7.0167,113.8667,OYO 3271 Homestay Pandian
489,Bethalto,US,45.73,38.9092,-90.0407,Town & Country Lakes
491,Kisaran,ID,74.23,2.9845,99.6158,Penginapan Batubara1
492,Asyut,EG,58.39,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
493,Talcahuano,CL,62.53,-36.7167,-73.1167,departamento comodo
495,Tabou,CI,78.46,4.423,-7.3528,hotêl doufoulougou
498,Klaksvik,FO,34.72,62.2266,-6.589,Airbnb rooms
499,Meulaboh,ID,76.26,4.1363,96.1285,Kost Pria
500,Dunedin,NZ,58.8,-45.8742,170.5036,Scenic Hotel Southern Cross
502,Naples,IT,54.14,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
505,Lewiston,US,20.95,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
506,Agara,GE,30.87,42.0376,43.8238,Silk Road Hotel
509,North Bend,US,50.23,43.4065,-124.2243,Red Lion Hotel Coos Bay
510,Kurilsk,RU,24.24,45.2333,147.8833,Hotel Ostrov
511,Ambilobe,MG,75.07,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
512,Hobyo,SO,77.16,5.3505,48.5268,Halane Hotel and Restaurent
515,Bela,IN,55.18,25.9333,81.9833,Raj Bhawan
518,Bodo,NO,26.78,67.28,14.405,Clarion Collection Hotel Grand Bodø
523,Laksham,BD,60.12,23.2472,91.1425,MRI ROBEL
524,Cooma,AU,51.57,-36.2333,149.1333,High Country Motel
525,Vila,PT,43.32,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
527,Cairns,AU,76.95,-16.9167,145.7667,Mantra Trilogy Cairns
528,Kumluca,TR,54.68,36.3703,30.2869,TurkuazKöy
529,Tekeli,KZ,23.79,44.83,78.8239,Vuslat Tekeli
530,Leninskoye,KZ,31.93,41.7589,69.3864,Leonid Rakhmanov
531,Bronnoysund,NO,26.71,65.4625,12.1997,Corner Hotel
532,Mason City,US,19.67,43.1536,-93.201,Days Inn by Wyndham Mason City
534,Chase,CA,37.15,50.8165,-119.6857,Chase Country Inn Motel
535,Rawson,AR,65.3,-43.3002,-65.1023,Hosteria Sampedro
539,Damghan,IR,39.79,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
540,Taketa,JP,38.17,32.9652,131.3785,Cue Hostel
541,Whitecourt,CA,22.24,54.1502,-115.6855,Super 8 by Wyndham Whitecourt
542,Tsiroanomandidy,MG,68.38,-18.7667,46.0333,Hotel Ravinala
543,Warrington,GB,45.45,53.3925,-2.5802,Villaggio Hotel
544,Kieta,PG,78.82,-6.2167,155.6333,Uruna Bay Retreat
545,Chokwe,MZ,78.03,-24.5333,32.9833,Complexo Sonho Real
546,Namibe,AO,77.11,-15.1961,12.1522,Hotel Chik Chik Namibe
547,Corn Island,NI,79.84,12.1694,-83.0418,Big Fish Guest House
548,Mayumba,GA,77.68,-3.432,10.6554,LIKWALE LODGE
549,Secunda,ZA,65.32,-26.55,29.1667,Peermont Walmont Hotel at Graceland
551,Ilave,PE,56.46,-16.0833,-69.6667,Hostal Magestad
552,Pimentel,PE,79.09,-6.8367,-79.9342,Casona Del Muelle
553,Bandar-E Anzali,IR,44.71,37.4727,49.4622,هتل بیاچ
554,Makaha,US,75.65,21.4694,-158.2175,Hawaiian Princess Resort
557,Porbandar,IN,68.67,21.6422,69.6093,Lords Inn Porbandar
560,Suffolk,US,25.36,40.8668,-72.7996,Greenwood Village
561,Huarmey,PE,77.4,-10.0681,-78.1522,Hotel Miramar
562,Murray Bridge,AU,68.68,-35.1167,139.2667,Balcony On Sixth Lodge
563,Nosy Varika,MG,76.33,-20.5833,48.5333,Hotel Volazara
564,Novovyazniki,RU,26.11,56.1975,42.1711,Gruzovaya Avtomoyka
567,Olga,RU,23.88,43.7444,135.2892,Gostinitsa Rosmorport.
568,Sandwick,GB,35.42,60.0,-1.25,Beach House Self-Catering Accomodation
569,Kishapu,TZ,66.79,-3.6167,33.8667,Stage 2
571,Nabire,ID,75.04,-3.3667,135.4833,Hotel Nusantara Nabire
572,Yarada,IN,70.12,17.65,83.2667,Yarada Jungle Beach Resorts
574,Galiakot,IN,68.56,23.5167,74.0,Galiakot
575,Chivay,PE,56.28,-15.6383,-71.6011,Casa Andina Standard Colca
576,Dajal,PK,62.26,29.5577,70.3762,LADLA CHOUDHARY HOUSE
577,Saint-Francois,FR,44.67,46.4154,3.9054,Manoir Du Bonheur
578,Cirie,IT,39.81,45.2351,7.5988,Gotha Hotel 4 stars
579,Palatka,US,62.04,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
580,Berlevag,NO,33.75,70.8578,29.0864,Kvitbrakka
581,Zhezkazgan,KZ,14.95,47.8043,67.7144,Hotel Zumrat
582,Vredendal,ZA,79.66,-31.6683,18.5012,Tharrakamma Guest House
589,Manakara,MG,75.87,-22.1333,48.0167,La Residence Manakara
590,Lleida,ES,55.89,41.6167,0.6167,Hotel Ramon Berenguer IV
591,Katherine,AU,79.12,-14.4667,132.2667,Pine Tree Motel
592,Sharjah,AE,73.38,25.3573,55.4033,Swiss Belhotel Sharjah
594,Tawau,MY,77.13,4.2498,117.8871,Shervinton Executive Boutique Hotel
595,Potosi,BO,57.74,-19.5836,-65.7531,Hostal La Casona Potosí
596,Vierzon,FR,46.78,47.2101,2.0625,Arche Hôtel
598,Waingapu,ID,78.62,-9.6567,120.2641,Pondok Wisata Elim
599,Abu Dhabi,AE,68.11,24.4667,54.3667,Beach Rotana
603,Vestmannaeyjar,IS,38.39,63.4427,-20.2734,Glamping & Camping
605,Tazmalt,DZ,52.59,36.3868,4.3989,Hôtel Numédia
606,Mount Isa,AU,76.77,-20.7333,139.5,ibis Styles Mt Isa Verona
607,Chadiza,ZM,64.99,-14.0678,32.4392,Sankhani Guest House
608,Iberia,US,66.06,29.9502,-91.7507,back to back rv park
609,Auki,SB,77.05,-8.7676,160.7034,Auki Motel
